,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,San Vicente,40,SV,1535158200,100,13.64,-88.78,82.4,3.36
273,Valparaiso,90,US,1535159700,70,41.47,-87.06,69.08,14.99
274,Port Blair,92,IN,1535161740,100,11.67,92.75,78.24,24.07
275,Acapulco,75,MX,1535158080,74,16.86,-99.88,84.2,8.05
276,Kruisfontein,0,ZA,1535161743,85,-34.0,24.73,56.64,7.18
277,Nanortalik,88,GL,1535161599,100,60.14,-45.24,40.62,33.24
278,Evensk,48,RU,1535161746,97,61.92,159.24,53.31,8.08
279,Chuy,92,UY,1535161560,100,-33.69,-53.46,48.09,31.79
280,Adrar,0,DZ,1535158800,23,27.87,-0.29,87.8,11.41
281,Cordoba,20,CO,1535161694,75,5.59,-73.79,49.08,2.04
282,Sao Filipe,88,CV,1535161754,100,14.9,-24.5,77.16,6.51
283,Fabriano,0,IT,1535158200,88,43.34,12.9,66.2,3.36
284,Nizhniy Kuranakh,0,RU,1535161610,68,58.84,125.49,63.3,3.38
285,Trairi,0,BR,1535161759,97,-3.28,-39.27,79.95,17.25
286,Saskylakh,0,RU,1535161760,88,71.97,114.09,54.57,7.07
287,Rudnya,0,RU,1535161763,73,50.8,44.56,47.82,2.59
288,Marsh Harbour,48,BS,1535161704,99,26.54,-77.06,83.91,15.57
289,Balkanabat,8,TM,1535161766,39,39.51,54.36,66.99,3.38
290,Whitehorse,75,CA,1535158800,62,60.72,-135.06,57.2,3.36
291,Lere,88,TD,1535161769,97,9.66,14.23,70.86,3.6
292,Kosa,0,RU,1535161771,94,59.94,54.99,49.17,10.98
293,Launceston,75,AU,1535160600,66,-41.43,147.14,53.6,13.87
294,Batagay,0,RU,1535161775,68,67.65,134.64,57.09,12.66
295,San Jeronimito,75,MX,1535158080,66,17.55,-101.33,87.8,3.36
296,Kassala,8,SD,1535161735,96,15.45,36.38,68.07,4.94
297,Namatanai,68,PG,1535161780,100,-3.66,152.44,82.47,2.71
298,Barra do Garcas,68,BR,1535161761,57,-15.89,-52.26,79.32,7.74
299,Ormara,68,PK,1535161514,94,25.21,64.64,78.42,15.46
300,Margate,0,AU,1535160600,50,-43.03,147.26,57.2,12.75
301,Huinan,24,CN,1535161788,98,42.68,126.04,70.59,11.21
302,Vigeland,0,NO,1535160000,100,58.46,8.52,42.8,4.7
303,Constitucion,75,MX,1535158020,46,23.99,-104.67,71.6,8.05
304,Hasaki,75,JP,1535158800,66,35.73,140.83,89.6,18.34
305,Quesnel,90,CA,1535158800,42,52.98,-122.49,68.0,5.82
306,Rio Gallegos,0,AR,1535158800,60,-51.62,-69.22,39.2,13.87
307,Champerico,20,MX,1535157720,69,16.38,-93.6,80.6,13.87
308,Pearl Lagoon,88,NI,1535161799,100,12.34,-83.67,80.49,11.1
309,Shumskiy,0,RU,1535161800,76,54.83,99.13,65.64,2.93
310,Ahuimanu,90,US,1535159220,82,21.44,-157.84,82.94,19.46
311,Saldanha,0,PT,1535161628,80,41.42,-6.55,52.59,2.59
312,Pangody,64,RU,1535161650,60,65.85,74.49,64.74,4.72
313,Oudtshoorn,0,ZA,1535158800,76,-33.59,22.2,48.2,3.36
314,Chokurdakh,88,RU,1535161699,81,70.62,147.9,43.86,14.12
315,Komsomolskiy,80,RU,1535161810,99,67.55,63.78,47.91,14.0
316,Bryant,20,US,1535158560,76,34.6,-92.49,86.0,8.05
317,Khandyga,68,RU,1535161869,96,62.65,135.58,59.25,3.49
318,Terra Santa,0,BR,1535161816,53,-2.1,-56.49,85.35,5.95
319,La Grande,1,US,1535158560,31,45.32,-118.09,75.02,12.75
320,Pitimbu,75,BR,1535158800,100,-7.47,-34.81,71.6,8.05
321,Alekseyevsk,92,RU,1535161821,99,57.84,108.35,53.49,3.49
322,Codrington,76,AU,1535161573,82,-28.95,153.24,62.58,3.49
323,Matagami,92,NG,1535161824,99,9.67,8.4,66.54,3.6
324,Oranjemund,92,ZA,1535161826,100,-28.55,16.43,55.92,9.42
325,Leshukonskoye,12,RU,1535161828,89,64.9,45.76,46.92,4.05
326,Severnoye,0,RU,1535161830,91,54.09,52.54,57.99,8.08
327,Nishihara,40,JP,1535158800,59,35.74,139.53,93.2,9.17
328,Havelock,40,US,1535158680,73,34.88,-76.9,77.0,6.93
329,Narsaq,92,GL,1535158200,46,60.91,-46.05,53.6,10.29
330,Henties Bay,88,NA,1535161837,100,-22.12,14.28,51.24,4.72
331,Nantucket,1,US,1535159700,100,41.28,-70.1,71.06,4.7
332,Fairbanks,90,US,1535159700,76,64.84,-147.72,55.94,10.29
333,Praia da Vitoria,75,PT,1535158800,88,38.73,-27.07,73.4,9.08
334,Manyana,90,AU,1535158800,77,-35.26,150.51,60.8,8.05
335,Banyuwangi,0,ID,1535161846,77,-8.21,114.37,79.14,4.61
336,Paragominas,0,BR,1535161848,87,-3.0,-47.35,75.45,5.17
337,Urrao,92,CO,1535161850,99,6.32,-76.13,64.11,0.92
338,Naron,0,ES,1535160600,87,43.52,-8.15,57.2,3.36
339,North Bend,1,US,1535159700,69,43.41,-124.22,64.04,21.92
340,Beian,75,NO,1535158200,87,63.66,9.57,51.8,8.05
341,Nadapuram,92,IN,1535161857,96,11.7,75.65,71.4,1.59
342,Aripuana,36,BR,1535161859,82,-9.17,-60.63,76.17,1.7
343,Sept-Iles,90,CA,1535158800,54,50.2,-66.38,59.0,5.82
344,Vestmanna,88,FO,1535160000,76,62.16,-7.17,48.2,19.46
345,Villa Carlos Paz,0,AR,1535158800,30,-31.42,-64.5,42.8,8.05
346,Cherskiy,76,RU,1535161866,90,68.75,161.3,39.9,5.95
347,Broome,8,GB,1535160000,93,52.47,1.45,48.2,9.17
348,Stendal,76,DE,1535161871,65,52.61,11.86,56.46,6.73
349,Lhokseumawe,44,ID,1535161872,97,5.18,97.15,84.54,4.38
350,Ust-Maya,76,RU,1535161638,86,60.42,134.54,58.71,4.5
351,Lompoc,1,US,1535160900,60,34.64,-120.46,68.0,11.41
352,Hofn,12,IS,1535161878,100,64.25,-15.21,46.02,4.5
353,Alta Floresta,20,BR,1535161882,74,-9.87,-56.08,78.69,1.92
354,Copiapo,0,CL,1535158800,81,-27.37,-70.33,51.8,2.24
355,Ponta do Sol,32,BR,1535161886,66,-20.63,-46.0,63.57,5.95
356,Winton,0,AU,1535161888,46,-22.38,143.04,74.37,9.53
357,Kampot,92,KH,1535161889,82,10.62,104.18,81.39,4.61
358,Longyearbyen,40,NO,1535158200,64,78.22,15.63,39.2,12.75
359,Zabaykalsk,80,CN,1535161895,63,49.64,117.33,75.36,4.5
360,The Valley,20,AI,1535158800,69,18.22,-63.06,82.4,11.41
361,Quatre Cocos,20,MU,1535158800,78,-20.21,57.76,71.6,14.99
362,Kaihua,68,CN,1535161901,73,29.14,118.41,78.78,5.5
363,Jinji,20,CN,1535161903,84,22.16,112.49,87.69,3.15
364,Sangin,0,AF,1535161905,64,32.07,64.85,69.42,3.15
365,Coquimbo,0,CL,1535158800,71,-29.95,-71.34,53.6,4.7
366,Talaya,0,RU,1535161908,75,55.79,84.89,65.37,4.38
367,Broken Hill,0,AU,1535161911,50,-31.97,141.45,62.67,13.56
368,Zhangjiakou,20,CN,1535161913,61,40.77,114.88,73.47,4.38
369,Shahdadkot,0,PK,1535161915,72,27.85,67.91,83.64,3.71
370,Anshun,68,CN,1535161917,80,26.25,105.93,73.56,4.5
371,Lucera,0,IT,1535161919,95,41.51,15.34,61.41,2.93
372,Aitape,64,PG,1535161920,100,-3.15,142.36,80.49,3.38
373,Kandrian,92,PG,1535161947,94,-6.21,149.55,77.97,3.6
374,Okato,56,NZ,1535161948,96,-39.19,173.88,55.2,24.18
375,Waddan,0,LY,1535161950,53,29.16,16.14,74.37,6.51
376,Anadyr,20,RU,1535158800,76,64.73,177.51,57.2,6.71
377,Torbay,40,CA,1535158800,77,47.66,-52.73,64.4,17.22
378,Shimoda,20,JP,1535158800,79,34.7,138.93,86.0,24.16
379,Kudahuvadhoo,56,MV,1535161958,100,2.67,72.89,82.38,5.73
380,Alexandria,40,US,1535160900,70,31.31,-92.44,89.06,5.06
381,Jinchang,0,CN,1535161961,82,38.52,102.19,63.39,3.71
382,Santa Cruz,40,US,1535161140,74,36.97,-122.03,75.2,13.87
383,Ola,90,RU,1535158800,88,59.58,151.3,64.4,10.98
384,Horsham,0,AU,1535161967,96,-36.71,142.2,58.98,4.5
385,Troitsko-Pechorsk,92,RU,1535161968,85,62.71,56.19,53.67,6.62
386,Kamenka,0,RU,1535161970,77,53.19,44.05,47.55,2.71
387,Palmer,90,US,1535160600,72,61.6,-149.11,64.04,1.92
388,Bandarbeyla,12,SO,1535161973,92,9.49,50.81,76.08,32.12
389,Vila Velha,20,BR,1535158800,83,-3.71,-38.6,78.8,8.05
390,Peniche,0,PT,1535160600,64,39.36,-9.38,68.0,6.93
391,Grants Pass,1,US,1535158560,47,42.44,-123.33,80.06,3.36
392,Mount Isa,0,AU,1535160600,17,-20.73,139.49,75.2,11.41
393,Hudson Bay,100,CA,1535161983,69,52.86,-102.4,63.21,6.73
394,Gaogou,48,CN,1535161984,83,31.12,117.94,80.04,14.45
395,Peterborough,32,GB,1535158560,87,52.57,-0.24,50.0,12.75
396,Tura,36,IN,1535161988,94,25.52,90.21,81.21,3.04
397,Port Elizabeth,1,US,1535158560,87,39.31,-74.98,73.04,7.4
398,Galveston,90,US,1535159820,68,40.58,-86.19,69.98,12.75
399,Puerto Madero,0,AR,1535158800,53,-34.61,-58.36,51.8,5.82
400,Teya,75,MX,1535158320,74,21.05,-89.07,80.6,5.82
401,Igarka,20,RU,1535161996,70,67.47,86.57,60.69,11.65
402,Jutai,20,BR,1535161998,90,-1.71,-47.89,75.36,5.06
403,Serebryansk,75,KZ,1535158800,72,49.68,83.3,64.4,8.95
404,Fort Nelson,90,CA,1535158800,87,58.81,-122.69,51.8,4.7
405,Sola,75,NO,1535160000,93,58.89,5.65,50.0,5.82
406,Bowen,40,AU,1535158800,57,-20.01,148.25,77.0,13.87
407,Muzhi,36,RU,1535161716,94,65.4,64.7,58.17,12.66
408,Bansi,92,IN,1535162009,100,27.18,82.93,77.16,8.75
409,Fallon,1,US,1535158560,28,46.84,-105.12,80.06,9.17
410,Novoagansk,0,RU,1535162012,78,61.94,76.66,62.31,3.49
411,Najran,0,SA,1535158800,21,17.54,44.22,84.2,3.38
412,Mogadishu,92,SO,1535161808,100,2.04,45.34,75.09,15.01
413,Tabuk,92,PH,1535162020,82,17.41,121.44,76.53,2.71
414,Sabang,48,PH,1535162022,76,13.72,123.58,87.24,13.11
415,Actopan,12,MX,1535162023,78,20.27,-98.94,60.33,2.37
416,Monrovia,75,LR,1535160600,94,6.33,-10.8,75.2,6.06
417,Wanlaweyn,92,SO,1535162026,88,2.62,44.89,73.47,8.41
418,Fare,0,PF,1535162028,96,-16.7,-151.02,80.49,9.75
419,Oyotun,0,PE,1535158800,29,-6.85,-79.3,66.2,17.22
420,Sao Gabriel da Cachoeira,24,BR,1535162031,88,-0.13,-67.09,76.53,1.7
421,Lalmohan,80,BD,1535162034,92,22.34,90.74,83.19,14.79
422,Tala,40,MX,1535157840,47,20.65,-103.7,77.0,5.82
423,Zliv,88,CZ,1535162037,91,49.07,14.37,55.65,7.96
424,Resistencia,0,AR,1535158800,70,-27.45,-58.99,51.8,5.82
425,Dombarovskiy,100,RU,1535162041,92,50.76,59.54,57.18,12.21
426,Tignere,88,CM,1535162043,100,7.37,12.65,60.87,2.71
427,Tsimlyansk,0,RU,1535162044,71,47.65,42.1,57.36,7.96
428,Udachnyy,48,RU,1535162046,83,66.42,112.4,52.23,3.38
429,Nogliki,0,RU,1535162048,85,51.8,143.14,59.34,11.1
430,Gusau,100,NG,1535162050,99,12.17,6.66,68.43,6.73
431,Ostrovnoy,8,RU,1535162051,89,68.05,39.51,50.43,17.81
432,Wuwei,64,CN,1535162053,94,37.93,102.64,59.34,2.93
433,Naryan-Mar,0,RU,1535162055,88,67.67,53.09,45.84,4.94
434,Bardejov,0,SK,1535160600,93,49.29,21.28,64.4,4.7
435,Nurota,0,UZ,1535158800,31,40.56,65.69,60.8,4.7
436,Lake Havasu City,1,US,1535160900,21,34.47,-114.34,105.98,8.05
437,Verkhnyaya Inta,100,RU,1535162061,95,65.99,60.32,49.44,4.05
438,Gerash,0,IR,1535158800,54,27.67,54.14,84.2,2.15
439,Opuwo,0,NA,1535162065,50,-18.06,13.84,50.34,4.61
440,Oktyabrskoye,0,RU,1535162067,82,56.73,85.44,62.49,3.49
441,Sergeyevka,12,KZ,1535162068,82,53.88,67.42,54.12,9.08
442,Palana,12,RU,1535162070,66,59.08,159.95,58.53,3.6
443,Katherine,0,AU,1535160600,30,-14.47,132.26,86.0,8.05
444,Amarillo,1,US,1535159700,43,35.21,-101.83,88.88,10.29
445,Kaman,0,TR,1535162075,74,39.36,33.73,53.85,2.48
446,Sinfra,92,CI,1535162077,94,6.62,-5.91,72.93,4.5
447,Fomboni,0,KM,1535162079,100,-12.28,43.74,76.71,10.76
448,Novi Sanzhary,0,UA,1535162081,44,49.33,34.31,54.57,6.17
449,Magdagachi,36,RU,1535162083,71,53.45,125.8,77.52,3.6
450,Barranca,44,PE,1535162087,100,-10.75,-77.76,59.61,11.77
451,Neyshabur,0,IR,1535162089,45,36.21,58.79,60.24,5.06
452,Arlit,0,NE,1535162090,40,18.74,7.39,82.83,8.08
453,San Policarpo,88,PH,1535162093,100,12.18,125.51,81.39,7.07
454,San Ramon,92,NI,1535162095,81,12.92,-85.84,72.57,3.04
455,Atambua,36,ID,1535162097,86,-9.11,124.89,80.76,6.62
456,Novikovo,0,UA,1535162099,100,45.05,34.56,61.95,3.15
457,Umm Kaddadah,92,SD,1535162100,91,13.6,26.69,69.96,8.41
458,Baruun-Urt,0,MN,1535162102,41,46.68,113.28,76.8,6.73
459,Traverse City,90,US,1535161440,84,44.76,-85.62,64.04,10.29
460,Port-Gentil,76,GA,1535162105,100,-0.72,8.78,73.83,9.64
461,Port Shepstone,0,ZA,1535162015,88,-30.74,30.45,63.21,18.14
462,Novovorontsovka,24,UA,1535162109,78,47.5,33.92,66.09,11.1
463,Gondar,20,PT,1535160600,82,41.82,-8.78,59.0,9.17
464,Mumford,88,GH,1535162112,94,5.26,-0.76,73.65,8.97
465,Nome,1,US,1535159700,72,30.04,-94.42,85.1,5.82
466,Raudeberg,88,NO,1535160000,87,61.99,5.14,50.0,9.17
467,Caravelas,64,BR,1535162118,100,-17.73,-39.27,75.63,15.01
468,Faya,0,SA,1535158800,52,18.39,42.45,69.8,2.71
469,Pakxan,100,LA,1535162121,100,18.39,103.66,72.57,1.14
470,Kisangani,0,CD,1535162122,99,0.52,25.21,67.89,2.04
471,Mount Gambier,0,AU,1535162125,80,-37.83,140.78,59.97,3.38
472,Kavaratti,36,IN,1535162128,95,10.57,72.64,82.47,14.79
473,Nobres,12,BR,1535162130,89,-14.72,-56.34,70.41,0.02
474,Rabo de Peixe,20,PT,1535160600,78,37.8,-25.58,71.6,6.93
475,Paamiut,100,GL,1535162133,97,61.99,-49.67,42.42,6.4
476,Sioux Lookout,90,CA,1535158800,77,50.1,-91.92,71.6,2.24
477,Manjacaze,0,MZ,1535162136,90,-24.71,33.88,60.51,2.04
478,Bom Jesus,0,BR,1535162138,40,-9.08,-44.36,75.45,8.52
479,Banjar,44,ID,1535162057,53,-7.37,108.54,80.94,3.49
480,Jonkoping,20,SE,1535160000,100,57.78,14.16,48.2,5.82
481,Salinopolis,36,BR,1535162143,95,-0.61,-47.36,80.49,14.45
482,Ankazobe,40,MG,1535160600,87,-18.32,47.12,51.8,5.82
483,Anori,0,BR,1535162147,65,-3.74,-61.66,80.67,4.05
484,Ailigandi,92,PA,1535162148,98,9.23,-78.02,75.99,1.92
485,Richards Bay,44,ZA,1535162150,96,-28.77,32.06,61.14,8.08
486,Ito,20,JP,1535158800,79,34.93,139.09,86.0,24.16
487,Buta,48,CD,1535162153,96,2.79,24.73,68.79,2.04
488,Bundaberg,64,AU,1535162155,87,-24.87,152.35,68.79,16.02
489,Harper,1,US,1535159700,29,30.3,-99.24,93.92,10.54
490,Nchelenge,0,ZM,1535162158,88,-9.35,28.74,66.45,2.93
491,Tessalit,88,ML,1535162159,72,20.2,1.01,74.19,3.38
492,Yarada,88,IN,1535162161,100,17.65,83.27,80.67,23.73
493,Vardo,75,US,1535160600,72,39.62,-77.74,73.94,4.5
494,Tandil,0,AR,1535162165,67,-37.33,-59.14,40.08,13.44
495,Vestmannaeyjar,8,IS,1535162166,95,63.44,-20.27,47.64,7.63
496,Tual,88,ID,1535162037,100,-5.67,132.75,77.52,10.42
497,Novomykolayivka,0,UA,1535162169,58,48.54,32.26,54.21,5.95
498,Puerto Narino,20,CO,1535158800,100,-3.77,-70.38,77.0,2.37
499,Esso,20,RU,1535162174,50,55.93,158.7,57.09,3.04
500,Gold Coast,40,AU,1535160600,52,-28.0,153.41,68.0,11.41
501,Lerwick,68,GB,1535160000,81,60.15,-1.15,51.8,18.34
502,Worthington,1,US,1535160900,94,43.62,-95.6,73.04,4.7
503,Nemuro,75,JP,1535158800,93,43.32,145.57,57.2,11.41
504,Yarmouth,0,GB,1535158200,93,50.71,-1.5,46.4,6.93
505,Pittsburg,1,US,1535160900,47,38.02,-121.89,80.96,8.05
506,Ugoofaaru,56,MV,1535162185,100,5.67,73.0,81.48,9.42
507,Antalaha,80,MG,1535162187,91,-14.9,50.28,66.63,9.42
508,Nova Olinda do Norte,0,BR,1535162188,73,-3.89,-59.1,80.04,4.61
509,Gari,92,RU,1535162190,97,59.43,62.35,54.12,4.5
510,Kahului,75,US,1535160840,88,20.89,-156.47,75.2,21.92
511,Georgiyevka,0,RU,1535162193,72,52.25,40.45,46.92,2.71
512,Mchinji,0,MW,1535162195,90,-13.8,32.89,54.66,6.62
513,Berdigestyakh,8,RU,1535162197,84,62.1,126.7,61.86,3.71
514,Abengourou,92,CI,1535162199,98,6.73,-3.5,71.85,6.4
515,Kroya,0,ID,1535162200,56,-6.5,108.06,86.7,3.71
516,Port Hardy,40,CA,1535158800,67,50.7,-127.42,62.6,10.29
517,Labuhan,0,ID,1535162203,73,-2.54,115.51,85.17,2.93
518,Mandalgovi,92,MN,1535162204,100,45.76,106.27,55.2,12.1
519,Kargasok,0,RU,1535162206,88,59.06,80.87,59.52,3.15
520,Kasongo-Lunda,88,CD,1535162208,93,-6.48,16.82,68.34,2.37
521,Dudinka,0,RU,1535162209,59,69.41,86.18,63.39,8.97
522,Big Rapids,90,US,1535160960,89,43.7,-85.48,64.22,3.36
523,Tres Rios,1,US,1535160900,47,34.56,-111.85,82.04,9.17
524,Requena,0,ES,1535160600,83,39.49,-1.1,75.2,4.7
525,Zhigansk,0,RU,1535162216,64,66.77,123.37,58.26,3.49
526,Coihaique,90,CL,1535158800,89,-45.58,-72.07,39.2,8.05
527,Marica,0,BR,1535158800,73,-22.92,-42.82,77.0,4.7
528,Hastings,8,NZ,1535162100,78,-39.64,176.84,57.81,20.49
529,Inirida,12,CO,1535162222,91,3.87,-67.92,74.82,2.48
530,Chopda,76,IN,1535162224,88,21.25,75.3,78.42,9.98
531,Pinega,0,RU,1535162226,95,64.7,43.39,50.07,5.73
532,Kawalu,0,ID,1535162227,61,-7.38,108.21,77.52,2.59
533,Deputatskiy,0,RU,1535162228,64,69.3,139.9,50.79,4.38
534,Bunol,0,ES,1535160600,83,39.42,-0.78,75.2,4.7
535,Springfield,75,US,1535161920,76,37.22,-93.29,80.96,11.41
536,Port Lincoln,0,AU,1535162233,83,-34.72,135.86,62.04,3.38
537,Torbat-e Jam,0,IR,1535162235,32,35.24,60.63,61.95,6.17
538,Dong Xoai,92,VN,1535162236,91,11.53,106.92,80.22,6.17
539,Mahon,20,IE,1535160600,87,51.89,-8.4,48.2,5.82
540,Bonthe,92,SL,1535162242,97,7.53,-12.5,76.17,4.16
541,Kedrovyy,0,RU,1535158800,87,56.17,91.82,57.2,2.24
542,Thinadhoo,64,MV,1535162245,100,0.53,72.93,82.02,3.15
